disclosure_id,tx_id,disclosed_at,disclosed_fee,disclosed_fx_rate,disclosed_receive_amount,disclosed_delivery_window,receipt_sent_at,cancellation_deadline,created_at
DSC_0FC7813196DC,TXN_17F4AB7B301E,2026-01-24T22:21:12.213307,3.02,165.310956,238380.05,Within 24 hours,2026-01-25T19:13:37.464615,2026-01-24T22:53:12.213307,2026-03-24 16:14:12
DSC_EAB18DF066CF,TXN_DD85A4E8E0A3,2025-04-15T21:29:12.213307,3.62,56.447999,27007.55,Within 1 hour,,2025-04-15T22:04:12.213307,2026-03-24 16:14:12
DSC_6E0D814ACA05,TXN_15C3317CC42C,2025-07-21T01:10:12.213307,2.41,84.072551,16553.04,Within 2 hours,,2025-07-21T01:42:12.213307,2026-03-24 16:14:12
DSC_F02D207D4013,TXN_723DD629A62B,2025-06-08T14:12:12.213307,5.22,57.031341,15155.51,Within 1 hour,2025-06-08T14:54:35.579356,2025-06-08T14:46:12.213307,2026-03-24 16:14:12
DSC_6742A270B5BE,TXN_BD233AC7C118,2025-10-17T11:51:12.213307,1.78,83.708493,21554.1,Within 2 hours,2025-10-17T12:47:34.598947,2025-10-17T12:23:12.213307,2026-03-24 16:14:12
DSC_1FEF89A6F9FE,TXN_8EE46431EF17,2025-09-27T06:17:12.213307,3.62,165.253744,303265.41,Within 15 minutes,2025-09-27T06:55:09.059460,2025-09-27T06:53:12.213307,2026-03-24 16:14:12
DSC_264E0D146835,TXN_7458C558A9E3,2025-06-23T17:23:12.213307,5.21,2050.929397,646514.47,Within 2 business days,,2025-06-23T18:03:12.213307,2026-03-24 16:14:12
DSC_DF344E4E8A04,TXN_49B751BB7EFA,2025-10-21T16:44:12.213307,6.28,2060.429436,3077766.47,Within 2 business days,2025-10-22T14:00:29.595944,2025-10-21T17:21:12.213307,2026-03-24 16:14:12
DSC_DEFA4FBF1236,TXN_C6B78BA3C623,2025-06-04T15:27:12.213307,4.55,165.546844,141723,Within 24 hours,2025-06-05T01:55:16.533610,2025-06-04T16:03:12.213307,2026-03-24 16:14:12
DSC_7CA00D23C844,TXN_728256FCE631,2025-05-26T19:08:12.213307,4.15,18.201419,36246.85,Within 4 hours,,2025-05-26T19:47:12.213307,2026-03-24 16:14:12
DSC_D6B638B69C70,TXN_27361FE32669,2025-08-27T23:00:12.213307,5.88,2045.502194,2704583.46,Within 2 business days,2025-08-29T17:16:38.936335,2025-08-27T23:32:12.213307,2026-03-24 16:14:12
DSC_EB0422A5591D,TXN_CC53829A8EDC,2025-07-11T02:20:12.213307,3.6,167.53457,152236.99,Within 15 minutes,2025-07-11T02:50:18.053672,2025-07-11T02:52:12.213307,2026-03-24 16:14:12
DSC_FAFB93C4763C,TXN_0AFC72BCB2D3,2025-06-25T15:46:12.213307,4.43,56.987503,54219.05,Within 30 minutes,2025-06-25T16:20:26.912525,2025-06-25T16:18:12.213307,2026-03-24 16:14:12
DSC_0B40CFC06562,TXN_495FF8EF449A,2026-01-21T08:49:12.213307,6.87,2021.916178,2468193.52,Within 1 hour,2026-01-21T09:31:39.630552,2026-01-21T09:22:12.213307,2026-03-24 16:14:12
DSC_4A423FCB7597,TXN_645D589C9462,2025-06-12T17:02:12.213307,3.21,84.031602,141463,Within 2 hours,2025-06-12T18:32:14.923931,2025-06-12T17:41:12.213307,2026-03-24 16:14:12
DSC_BB8B8A577E43,TXN_6D3A7AD7516E,2025-08-10T05:47:12.213307,1.03,84.018849,9775.59,Within 2 hours,,2025-08-10T06:27:12.213307,2026-03-24 16:14:12
DSC_6D4273CDE5A1,TXN_F73F180C7F09,2026-03-20T10:40:12.213307,3.92,56.983322,95616.3,Within 24 hours,,2026-03-20T11:13:12.213307,2026-03-24 16:14:12
DSC_0DAB2F5BCCA6,TXN_2B4FA4E4E6B0,2025-07-28T01:35:12.213307,2.35,17.844874,35039.84,Within 4 hours,2025-07-28T05:34:42.821312,2025-07-28T02:14:12.213307,2026-03-24 16:14:12
DSC_3D7562590D77,TXN_761481949C72,2025-12-14T11:53:12.213307,1.02,84.920522,29569.33,Within 2 hours,2025-12-14T14:08:16.673144,2025-12-14T12:25:12.213307,2026-03-24 16:14:12
DSC_3CC542A422AF,TXN_B79B9AED397B,2025-07-07T13:00:12.213307,3.31,57.952805,14298.7,Within 30 minutes,2025-07-07T13:48:07.909868,2025-07-07T13:35:12.213307,2026-03-24 16:14:12
DSC_88BEC0577F10,TXN_D7F5A9B0C943,2026-02-04T22:37:12.213307,4.87,58.018887,94651.43,Within 1 hour,2026-02-04T23:45:43.162171,2026-02-04T23:10:12.213307,2026-03-24 16:14:12
DSC_89A70CDDDCEE,TXN_6E96BE4C05D7,2026-01-06T02:13:12.213307,3.57,166.191408,24652.83,Within 15 minutes,2026-01-06T02:31:38.050655,2026-01-06T02:46:12.213307,2026-03-24 16:14:12
DSC_04374DB3CFE8,TXN_AC9AFE2F5B80,2025-06-03T08:21:12.213307,6.21,2050.704385,3260558.45,Within 2 business days,2025-06-04T14:23:20.940080,2025-06-03T08:55:12.213307,2026-03-24 16:14:12
DSC_EECF57E49E0D,TXN_46261A7D6F20,2026-03-01T23:50:12.213307,5.03,58.063363,25322.59,Within 1 hour,2026-03-02T00:39:54.487854,2026-03-02T00:24:12.213307,2026-03-24 16:14:12
DSC_B5AE395EE08F,TXN_BDF19B283785,2025-12-30T16:21:12.213307,3.68,168.157543,98880,Within 24 hours,,2025-12-30T17:01:12.213307,2026-03-24 16:14:12
DSC_551FD6673E2D,TXN_386B3F9263D8,2025-11-11T20:05:12.213307,4.05,171.088801,126773.38,Within 24 hours,2025-11-12T11:02:04.143864,2025-11-11T20:38:12.213307,2026-03-24 16:14:12
DSC_1AD723E49626,TXN_6182AFBF319E,2025-12-30T09:40:12.213307,3.26,18.011052,7879.29,Within 1 hour,2025-12-30T10:19:16.565672,2025-12-30T10:17:12.213307,2026-03-24 16:14:12
DSC_F5233638FC35,TXN_4F639D6AD231,2026-02-24T10:07:12.213307,6.46,2035.526409,879856.29,Within 1 hour,,2026-02-24T10:43:12.213307,2026-03-24 16:14:12
DSC_7A32EB72CA5A,TXN_BF9A7E8B51B1,2025-12-05T17:00:12.213307,2.48,83.149339,30995.58,Within 2 hours,,2025-12-05T17:35:12.213307,2026-03-24 16:14:12
DSC_E8FD34C6F3E8,TXN_8A07190F7937,2025-08-26T14:41:12.213307,2.86,18.009225,16314.56,Within 4 hours,2025-08-26T17:24:08.257871,2025-08-26T15:12:12.213307,2026-03-24 16:14:12
DSC_465F0942C87F,TXN_A98A1EDBA0CC,2025-09-23T23:48:12.213307,3.31,56.862133,13598.01,Within 30 minutes,2025-09-24T00:42:54.023197,2025-09-24T00:26:12.213307,2026-03-24 16:14:12
DSC_DFFF8BC5D741,TXN_F9A859D79186,2025-07-09T07:14:12.213307,3.68,167.920966,311426.22,Within 15 minutes,,2025-07-09T07:45:12.213307,2026-03-24 16:14:12
DSC_4D8D25F5CA1C,TXN_53DC8E160413,2025-04-09T01:53:12.213307,4.35,166.727153,81986.41,Within 24 hours,2025-04-09T11:32:22.954279,2025-04-09T02:30:12.213307,2026-03-24 16:14:12
DSC_711161F07F8F,TXN_DD76547858E6,2026-01-12T05:04:12.213307,2.19,17.541241,2593.3,Within 4 hours,2026-01-12T07:00:44.692915,2026-01-12T05:36:12.213307,2026-03-24 16:14:12
DSC_7CF25F5FC8EE,TXN_39DEA1DEE071,2026-01-23T07:28:12.213307,6.72,2037.19947,3617169.89,Within 1 hour,2026-01-23T08:13:09.412541,2026-01-23T08:01:12.213307,2026-03-24 16:14:12
DSC_766124F4AD24,TXN_335B45883F60,2025-11-15T06:51:12.213307,4.07,2068.132008,2144197.9,Within 2 business days,2025-11-16T01:25:43.756937,2025-11-15T07:28:12.213307,2026-03-24 16:14:12
DSC_C327355B4198,TXN_73814802F4B4,2025-04-06T05:17:12.213307,3.43,171.103548,261925.31,Within 24 hours,2025-04-06T22:13:30.581320,2025-04-06T05:57:12.213307,2026-03-24 16:14:12
DSC_381E8A8127F4,TXN_644BC879CCB9,2025-08-12T00:50:12.213307,4.33,166.170335,323852.69,Within 24 hours,2025-08-12T15:27:05.345425,2025-08-12T01:30:12.213307,2026-03-24 16:14:12
DSC_18D9E3AB08E6,TXN_A31F9BDCE5F9,2025-09-18T23:33:12.213307,2.56,17.538859,21949.88,Within 1 hour,2025-09-19T00:16:00.623636,2025-09-19T00:10:12.213307,2026-03-24 16:14:12
DSC_1A6C9AA5ABC8,TXN_3E073D6E7BA5,2025-07-17T16:06:12.213307,4.29,169.571048,43125.31,Within 15 minutes,,2025-07-17T16:39:12.213307,2026-03-24 16:14:12
DSC_8D186641C166,TXN_807DB2F85E59,2026-03-05T09:08:12.213307,3.92,170.689126,315937.04,Within 15 minutes,2026-03-05T09:22:23.161910,2026-03-05T09:41:12.213307,2026-03-24 16:14:12
DSC_F86E2DE1B72D,TXN_FA0583EAA995,2025-07-20T23:03:12.213307,5.81,57.954258,99556.72,Within 24 hours,2025-07-21T14:00:25.867843,2025-07-20T23:42:12.213307,2026-03-24 16:14:12
DSC_1F1A3F6B19B8,TXN_3AF8B1ECFFCF,2025-11-08T17:35:12.213307,4.64,17.628465,26791.39,Within 1 hour,2025-11-08T18:03:31.409653,2025-11-08T18:11:12.213307,2026-03-24 16:14:12
DSC_74133C253FF1,TXN_F62299B5D8B2,2025-05-06T01:53:12.213307,4.94,17.700237,6689.63,Within 1 hour,,2025-05-06T02:26:12.213307,2026-03-24 16:14:12
DSC_CAB5566C0843,TXN_D82FFE1B3339,2025-06-30T05:35:12.213307,6.98,2085.656167,2659336.75,Within 2 business days,,2025-06-30T06:11:12.213307,2026-03-24 16:14:12
DSC_20F37221421D,TXN_7EBFB5AF4B5F,2026-01-08T19:36:12.213307,3.55,167.330505,321316.4,Within 24 hours,2026-01-09T06:03:31.258241,2026-01-08T20:11:12.213307,2026-03-24 16:14:12
DSC_56DDA572C86E,TXN_9257368812C7,2025-05-16T23:55:12.213307,6.32,2069.217923,455621.09,Within 1 hour,2025-05-17T00:42:02.399085,2025-05-17T00:28:12.213307,2026-03-24 16:14:12
DSC_32DA44B5C168,TXN_D67BA1113812,2025-11-22T04:08:12.213307,6.69,2029.801075,2360354.18,Within 2 business days,,2025-11-22T04:45:12.213307,2026-03-24 16:14:12
DSC_8E2EC0789456,TXN_B0EF09F32770,2026-01-03T00:02:12.213307,5.71,167.424238,278480.08,Within 15 minutes,2026-01-03T00:24:10.833813,2026-01-03T00:38:12.213307,2026-03-24 16:14:12
DSC_80E3C2433DB3,TXN_1D84F4CA53BF,2026-01-27T09:06:12.213307,3.34,56.159585,109132.11,Within 1 hour,2026-01-27T09:39:34.170950,2026-01-27T09:46:12.213307,2026-03-24 16:14:12
DSC_2E7F71B76BA3,TXN_A7DBFADFD013,2025-10-28T06:48:12.213307,3.42,167.973084,228208.23,Within 24 hours,2025-10-28T20:13:35.411468,2025-10-28T07:28:12.213307,2026-03-24 16:14:12
DSC_950DD5FEFC0C,TXN_DBE2F7441A10,2026-03-17T07:36:12.213307,6.88,2056.278625,157716.57,Within 2 business days,,2026-03-17T08:07:12.213307,2026-03-24 16:14:12
DSC_D24E9B916E70,TXN_8BF2EC3BE94E,2025-12-16T05:40:12.213307,5.08,2039.707984,2043277.47,Within 2 business days,2025-12-17T13:54:31.189101,2025-12-16T06:15:12.213307,2026-03-24 16:14:12
DSC_F3083E6C38B0,TXN_B9CF77657B80,2025-04-26T09:48:12.213307,2.9,17.710452,30429.74,Within 1 hour,2025-04-26T10:52:51.075127,2025-04-26T10:26:12.213307,2026-03-24 16:14:12
DSC_907FA8D8E211,TXN_0C75470E3003,2025-07-27T17:29:12.213307,1.68,84.125288,105735.39,Within 2 hours,2025-07-27T19:24:10.754218,2025-07-27T18:00:12.213307,2026-03-24 16:14:12
DSC_E9191D490C76,TXN_7D6D1D8BCE83,2026-01-01T23:41:12.213307,5.37,57.963442,41192.3,Within 24 hours,2026-01-02T15:25:54.874225,2026-01-02T00:15:12.213307,2026-03-24 16:14:12
DSC_3C3B0029278D,TXN_C7D887AD8B3B,2026-03-20T18:21:12.213307,4.69,2037.325952,604657.97,Within 1 hour,2026-03-20T19:26:01.877540,2026-03-20T18:59:12.213307,2026-03-24 16:14:12
DSC_50D4AF481A28,TXN_CEA4CCADAD61,2025-05-27T02:48:12.213307,7.15,2017.523837,3634791.12,Within 2 business days,2025-05-29T00:32:23.569169,2025-05-27T03:21:12.213307,2026-03-24 16:14:12
DSC_BCB992E28591,TXN_81CB9355B98C,2026-02-03T10:54:12.213307,4.32,2088.712148,3296760.59,Within 2 business days,2026-02-04T15:18:47.805556,2026-02-03T11:26:12.213307,2026-03-24 16:14:12
DSC_80490BCD66DF,TXN_A39BD957B1D6,2026-03-20T18:31:12.213307,3.58,170.283649,82025.63,Within 24 hours,2026-03-21T03:49:04.327115,2026-03-20T19:04:12.213307,2026-03-24 16:14:12
DSC_E6AEA9AF39EC,TXN_4F9328F806C2,2025-09-19T01:03:12.213307,3.78,171.335907,244146.81,Within 15 minutes,2025-09-19T01:42:07.680899,2025-09-19T01:42:12.213307,2026-03-24 16:14:12
DSC_73040E147EA0,TXN_812EA0F8F985,2025-06-05T14:18:12.213307,5.1,57.098819,19144.09,Within 24 hours,2025-06-06T00:53:23.034223,2025-06-05T14:50:12.213307,2026-03-24 16:14:12
DSC_3B99B1E1171F,TXN_60B20D66B72C,2025-04-08T04:08:12.213307,3.2,165.325887,245031.15,Within 15 minutes,2025-04-08T04:45:27.407770,2025-04-08T04:45:12.213307,2026-03-24 16:14:12
DSC_CF13128A71F7,TXN_1750E14314A8,2025-09-17T20:53:12.213307,5.27,58.253573,99208.75,Within 30 minutes,,2025-09-17T21:25:12.213307,2026-03-24 16:14:12
DSC_11632C8759B4,TXN_F3F855D9464E,2025-04-27T20:43:12.213307,3.7,167.187466,229426.34,Within 24 hours,,2025-04-27T21:23:12.213307,2026-03-24 16:14:12
DSC_806C46A1EEED,TXN_358759F0E8CF,2026-03-17T22:01:12.213307,7.86,2024.447872,850531.28,Within 2 business days,,2026-03-17T22:33:12.213307,2026-03-24 16:14:12
DSC_12016BD87C0D,TXN_5BE0FE3B170E,2025-07-12T18:58:12.213307,2.6,84.682166,64459.22,Within 2 hours,,2025-07-12T19:32:12.213307,2026-03-24 16:14:12
DSC_6BF3051281DE,TXN_884701FE134E,2025-04-21T23:30:12.213307,3.29,17.983461,31722.47,Within 1 hour,2025-04-22T00:42:27.254023,2025-04-22T00:03:12.213307,2026-03-24 16:14:12
DSC_2542D510DBA8,TXN_BC68DC02EE0C,2026-02-05T00:47:12.213307,1.41,83.684502,117311.45,Within 2 hours,,2026-02-05T01:18:12.213307,2026-03-24 16:14:12
DSC_072462FFAA45,TXN_E7CD9FC1D775,2025-07-11T17:56:12.213307,3,18.008835,30821.58,Within 1 hour,2025-07-11T18:39:53.905554,2025-07-11T18:30:12.213307,2026-03-24 16:14:12
DSC_10E1D95FEBA4,TXN_98C490C0B5E2,2025-07-18T08:42:12.213307,3.2,83.068235,153995.22,Within 2 hours,2025-07-18T10:53:21.977538,2025-07-18T09:14:12.213307,2026-03-24 16:14:12
DSC_728C8865B70F,TXN_9028559A4F7D,2026-03-14T02:47:12.213307,4.4,17.756046,31419.68,Within 4 hours,2026-03-14T04:32:49.709854,2026-03-14T03:21:12.213307,2026-03-24 16:14:12
DSC_8141833487E7,TXN_F42CF3FDE445,2025-10-30T21:11:12.213307,3.29,82.807884,81103.7,Within 2 hours,2025-10-30T22:21:35.485529,2025-10-30T21:43:12.213307,2026-03-24 16:14:12
DSC_2587D24F6884,TXN_099C7ACBCD57,2025-11-03T15:50:12.213307,2.55,17.89094,5673.04,Within 4 hours,2025-11-03T18:34:52.192263,2025-11-03T16:25:12.213307,2026-03-24 16:14:12
DSC_A0B3756B1D98,TXN_F318FF54A420,2025-12-16T05:28:12.213307,5.65,167.747447,210496.21,Within 15 minutes,2025-12-16T05:44:46.130898,2025-12-16T06:04:12.213307,2026-03-24 16:14:12
DSC_CBB1817FDC9F,TXN_9882C1C76557,2025-11-01T00:38:12.213307,3.86,56.924819,92102.65,Within 24 hours,,2025-11-01T01:13:12.213307,2026-03-24 16:14:12
DSC_92D35E9CF468,TXN_7920B01421FE,2025-04-11T17:21:12.213307,3.74,17.654603,32562.15,Within 4 hours,2025-04-11T21:20:34.259264,2025-04-11T18:00:12.213307,2026-03-24 16:14:12
DSC_3E46698EE552,TXN_27618F3359C1,2026-02-04T19:11:12.213307,7.75,2086.493745,2254686.01,Within 1 hour,,2026-02-04T19:46:12.213307,2026-03-24 16:14:12
DSC_59761B2C2EB1,TXN_BE998947CE1E,2025-05-07T10:50:12.213307,5.72,2012.333628,2283757.19,Within 1 hour,2025-05-07T11:48:46.948638,2025-05-07T11:24:12.213307,2026-03-24 16:14:12
DSC_7D38FC1A97FF,TXN_620846B8EA24,2025-09-08T17:30:12.213307,3.28,168.297026,55393.28,Within 15 minutes,2025-09-08T17:57:24.924774,2025-09-08T18:06:12.213307,2026-03-24 16:14:12
DSC_7E82805E5FDF,TXN_AF3D33D509F8,2026-02-15T23:45:12.213307,3.85,168.295211,200523.74,Within 24 hours,,2026-02-16T00:21:12.213307,2026-03-24 16:14:12
DSC_9D295D02A934,TXN_A0A9C99E3336,2025-03-24T10:54:12.213307,5.03,167.481369,210648.02,Within 15 minutes,2025-03-24T11:14:51.755491,2025-03-24T11:26:12.213307,2026-03-24 16:14:12
DSC_A84CB93C5456,TXN_176BCA56B8FF,2025-10-09T05:51:12.213307,6.02,2045.195693,2207686.49,Within 2 business days,,2025-10-09T06:27:12.213307,2026-03-24 16:14:12
DSC_8ECF9C97C1F3,TXN_40C4FFA79F84,2025-10-03T15:44:12.213307,3.4,165.286724,284286.55,Within 15 minutes,,2025-10-03T16:15:12.213307,2026-03-24 16:14:12
DSC_9EABCFB2CADE,TXN_AF3981266BE7,2026-01-06T06:53:12.213307,5.95,57.190673,89523.42,Within 1 hour,2026-01-06T07:45:04.961654,2026-01-06T07:28:12.213307,2026-03-24 16:14:12
DSC_8DD3B8CBF88A,TXN_A7872D26339D,2025-04-10T15:30:12.213307,4.07,170.554434,97830.02,Within 24 hours,,2025-04-10T16:02:12.213307,2026-03-24 16:14:12
DSC_67C4EB926B01,TXN_6409384B876E,2025-03-29T07:31:12.213307,4.86,2064.010678,2512437.64,Within 1 hour,2025-03-29T08:09:56.352058,2025-03-29T08:09:12.213307,2026-03-24 16:14:12
DSC_0054D1906D69,TXN_B59AF8A3B79C,2025-08-26T17:41:12.213307,3.63,82.774441,145457.04,Within 2 hours,2025-08-26T19:32:55.037650,2025-08-26T18:18:12.213307,2026-03-24 16:14:12
DSC_53D341B4906C,TXN_93D54A212058,2025-11-03T22:07:12.213307,6.04,2064.920808,3831501.86,Within 1 hour,2025-11-03T23:00:18.698744,2025-11-03T22:47:12.213307,2026-03-24 16:14:12
DSC_287EF63431E4,TXN_1DA20AC643B6,2026-02-05T13:44:12.213307,5.49,2016.204231,1665808.1,Within 1 hour,2026-02-05T14:30:37.942028,2026-02-05T14:23:12.213307,2026-03-24 16:14:12
DSC_A283B8936238,TXN_289FC2A10A7C,2026-02-03T11:49:12.213307,4.07,56.824395,17064.37,Within 24 hours,2026-02-04T08:03:30.521040,2026-02-03T12:29:12.213307,2026-03-24 16:14:12
DSC_F109CB80A9C1,TXN_0FDDEC536145,2026-01-12T00:43:12.213307,3.24,169.402196,283545.4,Within 15 minutes,2026-01-12T01:22:07.002086,2026-01-12T01:19:12.213307,2026-03-24 16:14:12
DSC_E3A4EF37B833,TXN_9896DADAD062,2025-05-06T13:51:12.213307,4.43,56.594869,8153.62,Within 1 hour,2025-05-06T14:52:39.045237,2025-05-06T14:29:12.213307,2026-03-24 16:14:12
DSC_20D1C68BC9A1,TXN_05A6BB84CE0A,2025-04-15T07:25:12.213307,5.71,2084.020148,860512.76,Within 2 business days,,2025-04-15T08:00:12.213307,2026-03-24 16:14:12
DSC_CA79BB2866B9,TXN_740119E776E2,2025-06-22T15:26:12.213307,6.66,2063.260225,533765.42,Within 2 business days,2025-06-23T12:24:20.074756,2025-06-22T16:05:12.213307,2026-03-24 16:14:12
DSC_7BB4224226EA,TXN_5141A9C572D3,2025-08-11T23:29:12.213307,7.3,2009.439555,2597220.72,Within 1 hour,2025-08-12T00:43:50.109573,2025-08-12T00:01:12.213307,2026-03-24 16:14:12
DSC_1AD8C17A8EB1,TXN_FF01C77B8260,2025-06-06T18:53:12.213307,4.88,167.509623,220008.81,Within 15 minutes,2025-06-06T19:31:28.020600,2025-06-06T19:33:12.213307,2026-03-24 16:14:12
DSC_CF2F42DE2DEB,TXN_DFF12F0F03DA,2026-02-23T03:59:12.213307,7.16,2016.031281,2625316.25,Within 2 business days,2026-02-24T04:50:12.677778,2026-02-23T04:31:12.213307,2026-03-24 16:14:12
DSC_FA51A2294CEF,TXN_535C7E281565,2026-01-23T23:12:12.213307,6.58,2010.547896,2448344.7,Within 2 business days,,2026-01-23T23:44:12.213307,2026-03-24 16:14:12
DSC_81051EB66984,TXN_B70AEC03D4E9,2025-12-06T14:05:12.213307,1.22,82.741565,134464.97,Within 2 hours,,2025-12-06T14:40:12.213307,2026-03-24 16:14:12
DSC_62F47AF0AD43,TXN_CFF48E6242FC,2025-06-26T07:10:12.213307,5.02,57.929643,17501.7,Within 24 hours,2025-06-26T17:26:11.678107,2025-06-26T07:50:12.213307,2026-03-24 16:14:12
DSC_59053A4DF716,TXN_EDD48D4735CA,2025-03-30T17:21:12.213307,7.22,2057.19503,1969249.94,Within 2 business days,2025-04-01T08:21:30.086405,2025-03-30T17:54:12.213307,2026-03-24 16:14:12
DSC_EC5C391C2A4A,TXN_25D124E445AA,2025-08-25T13:10:12.213307,6.93,2070.434223,255947.08,Within 2 business days,,2025-08-25T13:50:12.213307,2026-03-24 16:14:12
DSC_67384C4A35A6,TXN_1171479F096F,2025-04-26T04:51:12.213307,3.32,17.74785,9351.87,Within 1 hour,2025-04-26T05:49:23.861365,2025-04-26T05:31:12.213307,2026-03-24 16:14:12
DSC_746F5C8CF48E,TXN_1289A5CACFF2,2025-04-24T17:42:12.213307,5.38,168.664253,304253.45,Within 15 minutes,,2025-04-24T18:19:12.213307,2026-03-24 16:14:12
DSC_3BE8117F0746,TXN_1FE867EE529D,2025-07-28T02:19:12.213307,1.01,84.756307,107217.58,Within 2 hours,2025-07-28T03:33:48.991509,2025-07-28T02:59:12.213307,2026-03-24 16:14:12
DSC_FC2B1938D771,TXN_B70B4FDF1EE6,2026-01-04T04:59:12.213307,6.86,2065.845386,3898146.95,Within 2 business days,,2026-01-04T05:36:12.213307,2026-03-24 16:14:12
DSC_0D9B0E8EEF3F,TXN_D887C00E0E8E,2025-06-08T14:14:12.213307,7.33,2048.832299,2598329.12,Within 2 business days,,2025-06-08T14:50:12.213307,2026-03-24 16:14:12
DSC_BD47F5EC813B,TXN_8CB494C0C0F9,2025-07-05T23:21:12.213307,6.24,2077.458801,3308955.6,Within 1 hour,2025-07-06T00:11:56.790682,2025-07-05T23:54:12.213307,2026-03-24 16:14:12
DSC_31560C9B5E6F,TXN_0EEF499C8017,2025-06-25T14:31:12.213307,5.08,170.701317,98824.11,Within 24 hours,2025-06-26T03:05:54.006545,2025-06-25T15:09:12.213307,2026-03-24 16:14:12
DSC_7C631A41BE4D,TXN_950C6C6D16A4,2025-09-11T02:27:12.213307,5.51,58.311862,85486.94,Within 24 hours,2025-09-11T20:12:40.273503,2025-09-11T03:06:12.213307,2026-03-24 16:14:12
DSC_4F22643256ED,TXN_1598800BD539,2025-06-02T03:34:12.213307,1.87,84.51452,156961.21,Within 2 hours,2025-06-02T04:41:22.807670,2025-06-02T04:14:12.213307,2026-03-24 16:14:12
DSC_E75B395640F5,TXN_7F336B3C7D35,2025-12-29T05:18:12.213307,6.18,2010.311742,1244061.32,Within 1 hour,2025-12-29T06:11:52.731782,2025-12-29T05:55:12.213307,2026-03-24 16:14:12
DSC_41D2A86C5BF2,TXN_BC788A5CC197,2026-01-27T02:09:12.213307,5.37,165.16208,153597.43,Within 15 minutes,2026-01-27T02:25:59.370242,2026-01-27T02:48:12.213307,2026-03-24 16:14:12
DSC_791FE168C63B,TXN_A692BF1B2383,2025-10-03T21:50:12.213307,6.47,2047.480386,2284148.64,Within 1 hour,,2025-10-03T22:26:12.213307,2026-03-24 16:14:12
DSC_DDFC4F7643A8,TXN_61E5F668F5FA,2025-07-07T00:08:12.213307,2.59,83.051316,24408.78,Within 2 hours,2025-07-07T01:43:54.773181,2025-07-07T00:40:12.213307,2026-03-24 16:14:12
DSC_1C66262AE715,TXN_D6BF80DC91BE,2026-01-31T10:44:12.213307,4.63,166.287621,200680.89,Within 24 hours,2026-02-01T03:14:09.036097,2026-01-31T11:19:12.213307,2026-03-24 16:14:12
DSC_44A5A97B5CF1,TXN_52CAE68B2FAE,2025-03-30T01:13:12.213307,4.56,170.169668,41369.95,Within 15 minutes,2025-03-30T01:41:07.036082,2025-03-30T01:48:12.213307,2026-03-24 16:14:12
DSC_B6935BEC6419,TXN_0AB7411B3410,2025-10-09T10:02:12.213307,4.6,166.749838,72599.54,Within 15 minutes,,2025-10-09T10:39:12.213307,2026-03-24 16:14:12
DSC_4727DF16CC57,TXN_0079CF22514D,2025-06-19T17:08:12.213307,3.83,81.774358,74021.33,Within 2 hours,2025-06-19T18:07:25.751046,2025-06-19T17:39:12.213307,2026-03-24 16:14:12
