tx_id,customer_id,corridor,send_country,receive_country,send_amount,send_currency,receive_amount,receive_currency,disclosed_fee,charged_fee,disclosed_fx_rate,applied_fx_rate,transfer_method,promised_delivery_ts,actual_delivery_ts,status,created_at
TXN_0C75470E3003,CUS_EADEEED8B5AD,US->IN,US,IN,1256.88,USD,105735.39,INR,1.68,1.68,84.125288,84.125288,bank_deposit,2025-07-27T19:30:12.213307,2025-07-27T19:16:10.754218,completed,2025-07-27T17:30:12.213307
TXN_7D6D1D8BCE83,CUS_846A979D8804,US->PH,US,PH,710.66,USD,41192.3,PHP,5.37,5.37,57.963442,57.963442,bank_deposit,2026-01-02T23:45:12.213307,2026-01-02T14:55:54.874225,completed,2026-01-01T23:45:12.213307
TXN_C7D887AD8B3B,CUS_342CDCD737F1,UK->NG,UK,NG,296.79,GBP,604657.97,NGN,4.69,4.69,2037.325952,2037.325952,mobile_money,2026-03-20T19:29:12.213307,2026-03-20T19:21:01.877540,completed,2026-03-20T18:29:12.213307
TXN_CEA4CCADAD61,CUS_6FD85235BF10,UK->NG,UK,NG,1801.61,GBP,3634791.12,NGN,7.15,7.15,2017.523837,2017.523837,bank_deposit,2025-05-29T02:51:12.213307,2025-05-29T00:24:23.569169,completed,2025-05-27T02:51:12.213307
TXN_81CB9355B98C,CUS_DF02899504FB,UK->NG,UK,NG,1578.37,GBP,3296760.59,NGN,4.32,4.32,2088.712148,2088.712148,bank_deposit,2026-02-05T10:56:12.213307,2026-02-04T14:57:47.805556,completed,2026-02-03T10:56:12.213307
TXN_A39BD957B1D6,CUS_478994359171,UK->KE,UK,KE,481.7,GBP,82025.63,KES,3.58,3.81,170.283649,170.283649,bank_deposit,2026-03-21T18:34:12.213307,2026-03-23T10:39:33.350071,completed,2026-03-20T18:34:12.213307
TXN_4F9328F806C2,CUS_3DE7206232C9,UK->KE,UK,KE,1424.96,GBP,244146.81,KES,3.78,3.78,171.335907,171.335907,mobile_money,2025-09-19T01:27:12.213307,2025-09-19T01:24:07.680899,completed,2025-09-19T01:12:12.213307
TXN_812EA0F8F985,CUS_EFDD81C311C5,US->PH,US,PH,335.28,USD,19144.09,PHP,5.1,5.1,57.098819,57.098819,bank_deposit,2025-06-06T14:20:12.213307,2025-06-06T00:40:23.034223,completed,2025-06-05T14:20:12.213307
TXN_60B20D66B72C,CUS_93BB76E9A1C7,UK->KE,UK,KE,1482.11,GBP,245031.15,KES,3.2,3.2,165.325887,165.325887,mobile_money,2025-04-08T04:30:12.213307,2025-04-08T04:21:27.407770,completed,2025-04-08T04:15:12.213307
TXN_1750E14314A8,CUS_2B635F170486,US->PH,US,PH,1703.05,USD,99208.75,PHP,5.27,5.27,58.253573,58.253573,mobile_money,2025-09-17T21:25:12.213307,,pending,2025-09-17T20:55:12.213307
TXN_F3F855D9464E,CUS_D3183FF4A4BD,UK->KE,UK,KE,1372.27,GBP,229426.34,KES,3.7,3.7,167.187466,167.187466,bank_deposit,2025-04-28T20:53:12.213307,2025-05-01T01:40:27.729148,completed,2025-04-27T20:53:12.213307
TXN_358759F0E8CF,CUS_93BB76E9A1C7,UK->NG,UK,NG,420.13,GBP,850531.28,NGN,7.86,7.86,2024.447872,2024.447872,bank_deposit,2026-03-19T22:03:12.213307,2026-03-19T14:25:11.060639,completed,2026-03-17T22:03:12.213307
TXN_5BE0FE3B170E,CUS_AF3412A66BF7,US->IN,US,IN,761.19,USD,64459.22,INR,2.6,2.6,84.682166,84.682166,bank_deposit,2025-07-12T21:02:12.213307,,failed,2025-07-12T19:02:12.213307
TXN_884701FE134E,CUS_BBB595F6F53F,US->MX,US,MX,1763.98,USD,31722.47,MXN,3.29,3.29,17.983461,17.983461,cash_pickup,2025-04-22T00:33:12.213307,2025-04-22T00:13:27.254023,completed,2025-04-21T23:33:12.213307
TXN_BC68DC02EE0C,CUS_91B571E31C40,US->IN,US,IN,1401.83,USD,115292.41,INR,1.41,1.41,83.684502,82.244213,bank_deposit,2026-02-05T02:48:12.213307,2026-02-08T01:08:26.875446,completed,2026-02-05T00:48:12.213307
TXN_E7CD9FC1D775,CUS_AE0112C671CF,US->MX,US,MX,1711.47,USD,30821.58,MXN,3,3,18.008835,18.008835,cash_pickup,2025-07-11T19:00:12.213307,2025-07-11T18:24:53.905554,completed,2025-07-11T18:00:12.213307
TXN_98C490C0B5E2,CUS_3644570370A6,US->IN,US,IN,1853.84,USD,153995.22,INR,3.2,3.31,83.068235,83.068235,bank_deposit,2025-07-18T10:44:12.213307,2025-07-18T10:26:21.977538,completed,2025-07-18T08:44:12.213307
TXN_9028559A4F7D,CUS_622B29B57CBC,US->MX,US,MX,1769.52,USD,31419.68,MXN,4.4,4.4,17.756046,17.756046,bank_deposit,2026-03-14T06:51:12.213307,2026-03-14T04:17:49.709854,completed,2026-03-14T02:51:12.213307
TXN_F42CF3FDE445,CUS_F484424C2225,US->IN,US,IN,979.42,USD,81103.7,INR,3.29,3.29,82.807884,82.807884,bank_deposit,2025-10-30T23:13:12.213307,2025-10-30T22:11:35.485529,completed,2025-10-30T21:13:12.213307
TXN_099C7ACBCD57,CUS_D719A4AF23DF,US->MX,US,MX,317.09,USD,5673.04,MXN,2.55,2.68,17.89094,17.89094,bank_deposit,2025-11-03T19:55:12.213307,2025-11-03T18:13:52.192263,completed,2025-11-03T15:55:12.213307
TXN_F318FF54A420,CUS_504C5190630C,UK->KE,UK,KE,1254.84,GBP,210496.21,KES,5.65,5.65,167.747447,167.747447,mobile_money,2025-12-16T05:49:12.213307,2025-12-16T05:40:46.130898,completed,2025-12-16T05:34:12.213307
TXN_9882C1C76557,CUS_0892FB8BFE6F,US->PH,US,PH,1617.97,USD,92102.65,PHP,3.86,3.86,56.924819,56.924819,bank_deposit,2025-11-02T00:43:12.213307,,cancelled,2025-11-01T00:43:12.213307
TXN_7920B01421FE,CUS_034F52E53A33,US->MX,US,MX,1844.4,USD,32562.15,MXN,3.74,3.74,17.654603,17.654603,bank_deposit,2025-04-11T21:30:12.213307,2025-04-11T21:11:34.259264,completed,2025-04-11T17:30:12.213307
TXN_27618F3359C1,CUS_66F4F5AEA081,UK->NG,UK,NG,1080.61,GBP,2254686.01,NGN,7.75,7.75,2086.493745,2086.493745,mobile_money,2026-02-04T20:16:12.213307,2026-02-04T19:52:59.415503,completed,2026-02-04T19:16:12.213307
TXN_BE998947CE1E,CUS_525880CCDFDD,UK->NG,UK,NG,1134.88,GBP,2283757.19,NGN,5.72,5.72,2012.333628,2012.333628,mobile_money,2025-05-07T11:54:12.213307,2025-05-10T07:32:38.971840,completed,2025-05-07T10:54:12.213307
TXN_620846B8EA24,CUS_774E12F73CCC,UK->KE,UK,KE,329.14,GBP,55393.28,KES,3.28,3.28,168.297026,168.297026,mobile_money,2025-09-08T17:51:12.213307,2025-09-08T17:44:24.924774,completed,2025-09-08T17:36:12.213307
TXN_AF3D33D509F8,CUS_C983420F188F,UK->KE,UK,KE,1191.5,GBP,200523.74,KES,3.85,3.85,168.295211,168.295211,bank_deposit,2026-02-16T23:51:12.213307,,cancelled,2026-02-15T23:51:12.213307
TXN_A0A9C99E3336,CUS_D08C05BDB014,UK->KE,UK,KE,1257.74,GBP,210648.02,KES,5.03,5.03,167.481369,167.481369,mobile_money,2025-03-24T11:11:12.213307,2025-03-25T21:59:11.070953,completed,2025-03-24T10:56:12.213307
TXN_176BCA56B8FF,CUS_3B79BF52A5E0,UK->NG,UK,NG,1079.45,GBP,2207686.49,NGN,6.02,6.02,2045.195693,2045.195693,bank_deposit,2025-10-11T05:57:12.213307,,pending,2025-10-09T05:57:12.213307
TXN_40C4FFA79F84,CUS_849DFCD343AC,UK->KE,UK,KE,1719.96,GBP,284286.55,KES,3.4,3.4,165.286724,165.286724,mobile_money,2025-10-03T16:00:12.213307,,failed,2025-10-03T15:45:12.213307
TXN_AF3981266BE7,CUS_3C334999E63B,US->PH,US,PH,1565.35,USD,89523.42,PHP,5.95,5.95,57.190673,57.190673,cash_pickup,2026-01-06T07:58:12.213307,2026-01-06T07:40:04.961654,completed,2026-01-06T06:58:12.213307
TXN_A7872D26339D,CUS_E6C656B89FC0,UK->KE,UK,KE,573.6,GBP,97830.02,KES,4.07,4.39,170.554434,170.554434,bank_deposit,2025-04-11T15:32:12.213307,2025-04-11T13:52:51.683746,completed,2025-04-10T15:32:12.213307
TXN_6409384B876E,CUS_BF8FD35C8AD0,UK->NG,UK,NG,1217.26,GBP,2512437.64,NGN,4.86,4.86,2064.010678,2064.010678,mobile_money,2025-03-29T08:39:12.213307,2025-03-29T07:58:56.352058,completed,2025-03-29T07:39:12.213307
TXN_B59AF8A3B79C,CUS_F7A65195E154,US->IN,US,IN,1757.27,USD,145457.04,INR,3.63,3.75,82.774441,82.774441,bank_deposit,2025-08-26T19:48:12.213307,2025-08-26T19:13:55.037650,completed,2025-08-26T17:48:12.213307
TXN_93D54A212058,CUS_BD4C359DD0D5,UK->NG,UK,NG,1855.52,GBP,3831501.86,NGN,6.04,6.04,2064.920808,2064.920808,mobile_money,2025-11-03T23:17:12.213307,2025-11-03T22:35:18.698744,completed,2025-11-03T22:17:12.213307
TXN_1DA20AC643B6,CUS_0D389B40CBFF,UK->NG,UK,NG,826.21,GBP,1634357.62,NGN,5.49,5.49,2016.204231,1978.138269,mobile_money,2026-02-05T14:53:12.213307,2026-02-05T14:25:37.942028,completed,2026-02-05T13:53:12.213307
TXN_289FC2A10A7C,CUS_BA8BAE9662E1,US->PH,US,PH,300.3,USD,17064.37,PHP,4.07,4.07,56.824395,56.824395,bank_deposit,2026-02-04T11:59:12.213307,2026-02-04T07:46:30.521040,completed,2026-02-03T11:59:12.213307
TXN_0FDDEC536145,CUS_342CDCD737F1,UK->KE,UK,KE,1673.8,GBP,283545.4,KES,3.24,3.24,169.402196,169.402196,mobile_money,2026-01-12T01:04:12.213307,2026-01-12T01:00:07.002086,completed,2026-01-12T00:49:12.213307
TXN_9896DADAD062,CUS_9D483A02D011,US->PH,US,PH,144.07,USD,8153.62,PHP,4.43,4.58,56.594869,56.594869,cash_pickup,2025-05-06T14:59:12.213307,2025-05-06T14:40:39.045237,completed,2025-05-06T13:59:12.213307
TXN_05A6BB84CE0A,CUS_216715997E38,UK->NG,UK,NG,412.91,GBP,860512.76,NGN,5.71,5.92,2084.020148,2084.020148,bank_deposit,2025-04-17T07:30:12.213307,2025-04-16T13:39:33.728789,completed,2025-04-15T07:30:12.213307
TXN_740119E776E2,CUS_6C05B6151AE5,UK->NG,UK,NG,258.7,GBP,533765.42,NGN,6.66,6.66,2063.260225,2063.260225,bank_deposit,2025-06-24T15:35:12.213307,2025-06-23T12:10:20.074756,completed,2025-06-22T15:35:12.213307
TXN_5141A9C572D3,CUS_A79C20F534D3,UK->NG,UK,NG,1292.51,GBP,2597220.72,NGN,7.3,7.3,2009.439555,2009.439555,mobile_money,2025-08-12T00:31:12.213307,2025-08-12T00:23:50.109573,completed,2025-08-11T23:31:12.213307
TXN_FF01C77B8260,CUS_1474C976729B,UK->KE,UK,KE,1313.41,GBP,220008.81,KES,4.88,4.88,167.509623,167.509623,mobile_money,2025-06-06T19:18:12.213307,2025-06-06T19:13:28.020600,completed,2025-06-06T19:03:12.213307
