violation_id,tx_id,rule_id,severity,disclosed_value,actual_value,delta,delta_pct,description,detected_at
VIO_23D8730FF570,TXN_EA1498ABBDD8,R1,medium,4.24,4.42,0.18,4.2453,Charged fee $4.42 exceeds disclosed fee $4.24 by 4.2%,2026-03-24 16:14:12
VIO_E0B46D9032F8,TXN_7D77597ABD7E,R1,medium,5.96,6.21,0.25,4.1946,Charged fee $6.21 exceeds disclosed fee $5.96 by 4.2%,2026-03-24 16:14:12
VIO_A93AB12F7801,TXN_72F914AE9FD6,R1,high,6.6,7.07,0.47,7.1212,Charged fee $7.07 exceeds disclosed fee $6.60 by 7.1%,2026-03-24 16:14:12
VIO_9DAB86B3B717,TXN_48B845D00AC2,R1,high,2.91,3.1,0.19,6.5292,Charged fee $3.10 exceeds disclosed fee $2.91 by 6.5%,2026-03-24 16:14:12
VIO_E48CA71821C1,TXN_0CBF5F6CAC15,R1,high,2.86,3.07,0.21,7.3427,Charged fee $3.07 exceeds disclosed fee $2.86 by 7.3%,2026-03-24 16:14:12
VIO_A467EB2B3A4F,TXN_DD0552AD2F3B,R1,high,2.83,2.98,0.15,5.3004,Charged fee $2.98 exceeds disclosed fee $2.83 by 5.3%,2026-03-24 16:14:12
VIO_247419924CE5,TXN_F5D713EBD2EB,R1,medium,5.37,5.57,0.2,3.7244,Charged fee $5.57 exceeds disclosed fee $5.37 by 3.7%,2026-03-24 16:14:12
VIO_FAE707A60840,TXN_207D7736E98D,R1,high,4.91,5.19,0.28,5.7026,Charged fee $5.19 exceeds disclosed fee $4.91 by 5.7%,2026-03-24 16:14:12
VIO_CC03EA4A162C,TXN_7484F5B5A775,R1,high,4.39,4.71,0.32,7.2893,Charged fee $4.71 exceeds disclosed fee $4.39 by 7.3%,2026-03-24 16:14:12
VIO_4188D28668BD,TXN_B8A81F8DEDA2,R1,medium,3.67,3.77,0.1,2.7248,Charged fee $3.77 exceeds disclosed fee $3.67 by 2.7%,2026-03-24 16:14:12
VIO_4E20F6F7D479,TXN_6AE8C7C90924,R1,high,3.89,4.16,0.27,6.9409,Charged fee $4.16 exceeds disclosed fee $3.89 by 6.9%,2026-03-24 16:14:12
VIO_99B134416CD2,TXN_4F3561BE8570,R1,medium,3.89,4.03,0.14,3.599,Charged fee $4.03 exceeds disclosed fee $3.89 by 3.6%,2026-03-24 16:14:12
VIO_D3D41F9BD560,TXN_ABB49CA720BA,R1,high,4.94,5.28,0.34,6.8826,Charged fee $5.28 exceeds disclosed fee $4.94 by 6.9%,2026-03-24 16:14:12
VIO_99B1CCC3C049,TXN_0CF8D364208B,R1,medium,5.64,5.9,0.26,4.6099,Charged fee $5.90 exceeds disclosed fee $5.64 by 4.6%,2026-03-24 16:14:12
VIO_3F43F94E23A2,TXN_6AAACB5C3C91,R1,medium,3.7,3.85,0.15,4.0541,Charged fee $3.85 exceeds disclosed fee $3.70 by 4.1%,2026-03-24 16:14:12
VIO_61259AA596CC,TXN_3A7FF3166A31,R1,high,5.8,6.19,0.39,6.7241,Charged fee $6.19 exceeds disclosed fee $5.80 by 6.7%,2026-03-24 16:14:12
VIO_F416DC27B98E,TXN_2C73F04F6909,R1,high,4.1,4.34,0.24,5.8537,Charged fee $4.34 exceeds disclosed fee $4.10 by 5.9%,2026-03-24 16:14:12
VIO_106BE5AE078F,TXN_8DFDDB944570,R1,high,4.5,4.75,0.25,5.5556,Charged fee $4.75 exceeds disclosed fee $4.50 by 5.6%,2026-03-24 16:14:12
VIO_7062D7523F1F,TXN_1807325F7127,R1,high,3.1,3.28,0.18,5.8065,Charged fee $3.28 exceeds disclosed fee $3.10 by 5.8%,2026-03-24 16:14:12
VIO_BF79432BD01C,TXN_B1E4E79D700A,R1,high,3.48,3.68,0.2,5.7471,Charged fee $3.68 exceeds disclosed fee $3.48 by 5.7%,2026-03-24 16:14:12
VIO_2C4F801F4D5D,TXN_D93F618F3157,R1,high,7.47,8.04,0.57,7.6305,Charged fee $8.04 exceeds disclosed fee $7.47 by 7.6%,2026-03-24 16:14:12
VIO_6862713A6C72,TXN_93249708E31F,R1,high,4.98,5.28,0.3,6.0241,Charged fee $5.28 exceeds disclosed fee $4.98 by 6.0%,2026-03-24 16:14:12
VIO_D008B0FF7765,TXN_507DF344EB7E,R1,medium,4.85,4.95,0.1,2.0619,Charged fee $4.95 exceeds disclosed fee $4.85 by 2.1%,2026-03-24 16:14:12
VIO_70C67959C3A9,TXN_ECB27C1DF35C,R1,high,6.68,7.05,0.37,5.5389,Charged fee $7.05 exceeds disclosed fee $6.68 by 5.5%,2026-03-24 16:14:12
VIO_9DABEFD51C75,TXN_DC11F277D678,R1,medium,7.17,7.5,0.33,4.6025,Charged fee $7.50 exceeds disclosed fee $7.17 by 4.6%,2026-03-24 16:14:12
VIO_AF1D41B9B02E,TXN_F8EFE42A5314,R1,high,5.72,6.1,0.38,6.6434,Charged fee $6.10 exceeds disclosed fee $5.72 by 6.6%,2026-03-24 16:14:12
VIO_E08C27A0DC77,TXN_A6E2FB1A7835,R1,medium,4.06,4.2,0.14,3.4483,Charged fee $4.20 exceeds disclosed fee $4.06 by 3.4%,2026-03-24 16:14:12
VIO_E897C1278748,TXN_67E41FB9FDC1,R1,high,5.1,5.36,0.26,5.098,Charged fee $5.36 exceeds disclosed fee $5.10 by 5.1%,2026-03-24 16:14:12
VIO_ED4E735FCFB1,TXN_8953E8C4A059,R1,medium,5.33,5.53,0.2,3.7523,Charged fee $5.53 exceeds disclosed fee $5.33 by 3.8%,2026-03-24 16:14:12
VIO_B131C0F540D8,TXN_A5E0529038EB,R1,high,3.7,3.98,0.28,7.5676,Charged fee $3.98 exceeds disclosed fee $3.70 by 7.6%,2026-03-24 16:14:12
VIO_270F06062124,TXN_CC18DCB90E1D,R1,high,4.56,4.91,0.35,7.6754,Charged fee $4.91 exceeds disclosed fee $4.56 by 7.7%,2026-03-24 16:14:12
VIO_AA632A557B66,TXN_8C96E3775A0C,R1,high,6.02,6.42,0.4,6.6445,Charged fee $6.42 exceeds disclosed fee $6.02 by 6.6%,2026-03-24 16:14:12
VIO_2D4819E04A68,TXN_6EB730BAC844,R1,medium,3.16,3.29,0.13,4.1139,Charged fee $3.29 exceeds disclosed fee $3.16 by 4.1%,2026-03-24 16:14:12
VIO_48932F443893,TXN_C8C99FC752CC,R1,high,3.09,3.3,0.21,6.7961,Charged fee $3.30 exceeds disclosed fee $3.09 by 6.8%,2026-03-24 16:14:12
VIO_75A750695088,TXN_8B23D90A4E3F,R1,medium,5.46,5.6,0.14,2.5641,Charged fee $5.60 exceeds disclosed fee $5.46 by 2.6%,2026-03-24 16:14:12
VIO_1840D3D69C22,TXN_CBECF05E458D,R1,medium,5.45,5.57,0.12,2.2018,Charged fee $5.57 exceeds disclosed fee $5.45 by 2.2%,2026-03-24 16:14:12
VIO_F3E19B1158D9,TXN_0C2BF5CABA6C,R1,high,2.51,2.7,0.19,7.5697,Charged fee $2.70 exceeds disclosed fee $2.51 by 7.6%,2026-03-24 16:14:12
VIO_1B4ECC274A16,TXN_F147E8E1588F,R1,medium,3.25,3.41,0.16,4.9231,Charged fee $3.41 exceeds disclosed fee $3.25 by 4.9%,2026-03-24 16:14:12
VIO_CE99635C2EED,TXN_9AE2FDE9C4DC,R1,high,3.75,4,0.25,6.6667,Charged fee $4.00 exceeds disclosed fee $3.75 by 6.7%,2026-03-24 16:14:12
VIO_6D4BAFBCEE4B,TXN_FD69479E1381,R1,high,3.15,3.4,0.25,7.9365,Charged fee $3.40 exceeds disclosed fee $3.15 by 7.9%,2026-03-24 16:14:12
VIO_2117121FC8A1,TXN_321DAB87E01B,R1,high,4.93,5.25,0.32,6.4909,Charged fee $5.25 exceeds disclosed fee $4.93 by 6.5%,2026-03-24 16:14:12
VIO_66FD9B9558C1,TXN_399168B84631,R1,high,4.54,4.89,0.35,7.7093,Charged fee $4.89 exceeds disclosed fee $4.54 by 7.7%,2026-03-24 16:14:12
VIO_6B201FAA78A4,TXN_A82EF2468E63,R1,medium,4.05,4.23,0.18,4.4444,Charged fee $4.23 exceeds disclosed fee $4.05 by 4.4%,2026-03-24 16:14:12
VIO_65656BBB87D4,TXN_25ABBA228CB9,R1,high,6.09,6.45,0.36,5.9113,Charged fee $6.45 exceeds disclosed fee $6.09 by 5.9%,2026-03-24 16:14:12
VIO_C1F889AFF77D,TXN_75AF6FCB67C6,R1,medium,4.2,4.33,0.13,3.0952,Charged fee $4.33 exceeds disclosed fee $4.20 by 3.1%,2026-03-24 16:14:12
VIO_EFA92E1F650B,TXN_3E6FC3B93BEB,R1,medium,3.56,3.69,0.13,3.6517,Charged fee $3.69 exceeds disclosed fee $3.56 by 3.7%,2026-03-24 16:14:12
VIO_579312061E0F,TXN_27CBE07A7E59,R1,medium,3.75,3.89,0.14,3.7333,Charged fee $3.89 exceeds disclosed fee $3.75 by 3.7%,2026-03-24 16:14:12
VIO_22256652C686,TXN_8446F4C5F0DC,R1,medium,4.82,5.01,0.19,3.9419,Charged fee $5.01 exceeds disclosed fee $4.82 by 3.9%,2026-03-24 16:14:12
VIO_DA548FFF966A,TXN_33C8757721AE,R1,high,2.88,3.07,0.19,6.5972,Charged fee $3.07 exceeds disclosed fee $2.88 by 6.6%,2026-03-24 16:14:12
VIO_53E6C757C39E,TXN_0F2FAB65FECF,R1,medium,5.67,5.87,0.2,3.5273,Charged fee $5.87 exceeds disclosed fee $5.67 by 3.5%,2026-03-24 16:14:12
VIO_82A0BE29B423,TXN_A32ADD6BD506,R1,high,2.01,2.14,0.13,6.4677,Charged fee $2.14 exceeds disclosed fee $2.01 by 6.5%,2026-03-24 16:14:12
VIO_AC94C7E1F460,TXN_D536F2C2D581,R1,high,2.38,2.5,0.12,5.042,Charged fee $2.50 exceeds disclosed fee $2.38 by 5.0%,2026-03-24 16:14:12
